Code,State Code,County Code,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate (%),State,Unemployed Rate Category
CN2204100000000,22.0,41.0,"Franklin Parish, LA",2022.0,7372.0,7020.0,352.0,4.8,LA,Medium
CN2204300000000,22.0,43.0,"Grant Parish, LA",2022.0,8197.0,7911.0,286.0,3.5,LA,Low
CN2204500000000,22.0,45.0,"Iberia Parish, LA",2022.0,27430.0,26279.0,1151.0,4.2,LA,Low
CN2204700000000,22.0,47.0,"Iberville Parish, LA",2022.0,13850.0,13240.0,610.0,4.4,LA,Low
CN2204900000000,22.0,49.0,"Jackson Parish, LA",2022.0,6903.0,6684.0,219.0,3.2,LA,Low
CN2205100000000,22.0,51.0,"Jefferson Parish, LA",2022.0,208950.0,201513.0,7437.0,3.6,LA,Low
CN2205300000000,22.0,53.0,"Jefferson Davis Parish, LA",2022.0,12284.0,11856.0,428.0,3.5,LA,Low
CN2205500000000,22.0,55.0,"Lafayette Parish, LA",2022.0,115683.0,112040.0,3643.0,3.1,LA,Low
CN2205700000000,22.0,57.0,"Lafourche Parish, LA",2022.0,40406.0,39042.0,1364.0,3.4,LA,Low
CN2205900000000,22.0,59.0,"LaSalle Parish, LA",2022.0,6700.0,6523.0,177.0,2.6,LA,Low
CN2206100000000,22.0,61.0,"Lincoln Parish, LA",2022.0,21159.0,20419.0,740.0,3.5,LA,Low
CN2206300000000,22.0,63.0,"Livingston Parish, LA",2022.0,71405.0,69374.0,2031.0,2.8,LA,Low
CN2206500000000,22.0,65.0,"Madison Parish, LA",2022.0,3463.0,3290.0,173.0,5.0,LA,Medium
CN2206700000000,22.0,67.0,"Morehouse Parish, LA",2022.0,9804.0,9288.0,516.0,5.3,LA,Medium
CN2206900000000,22.0,69.0,"Natchitoches Parish, LA",2022.0,16536.0,15888.0,648.0,3.9,LA,Low
CN2207100000000,22.0,71.0,"Orleans Parish, LA",2022.0,175296.0,167464.0,7832.0,4.5,LA,Low
CN2207300000000,22.0,73.0,"Ouachita Parish, LA",2022.0,69870.0,67319.0,2551.0,3.7,LA,Low
CN2207500000000,22.0,75.0,"Plaquemines Parish, LA",2022.0,9727.0,9414.0,313.0,3.2,LA,Low
CN2207700000000,22.0,77.0,"Pointe Coupee Parish, LA",2022.0,9761.0,9384.0,377.0,3.9,LA,Low
CN2207900000000,22.0,79.0,"Rapides Parish, LA",2022.0,55235.0,53441.0,1794.0,3.2,LA,Low
CN2208100000000,22.0,81.0,"Red River Parish, LA",2022.0,3741.0,3615.0,126.0,3.4,LA,Low
CN2208300000000,22.0,83.0,"Richland Parish, LA",2022.0,8169.0,7836.0,333.0,4.1,LA,Low
CN2208500000000,22.0,85.0,"Sabine Parish, LA",2022.0,9225.0,8926.0,299.0,3.2,LA,Low
CN2208700000000,22.0,87.0,"St. Bernard Parish, LA",2022.0,19866.0,19061.0,805.0,4.1,LA,Low
CN2208900000000,22.0,89.0,"St. Charles Parish, LA",2022.0,24625.0,23808.0,817.0,3.3,LA,Low
CN2209100000000,22.0,91.0,"St. Helena Parish, LA",2022.0,4258.0,4031.0,227.0,5.3,LA,Medium
CN2209300000000,22.0,93.0,"St. James Parish, LA",2022.0,8851.0,8444.0,407.0,4.6,LA,Medium
CN2209500000000,22.0,95.0,"St. John the Baptist Parish, LA",2022.0,18972.0,18027.0,945.0,5.0,LA,Medium
CN2209700000000,22.0,97.0,"St. Landry Parish, LA",2022.0,31722.0,30315.0,1407.0,4.4,LA,Low
CN2209900000000,22.0,99.0,"St. Martin Parish, LA",2022.0,21928.0,21126.0,802.0,3.7,LA,Low
CN2210100000000,22.0,101.0,"St. Mary Parish, LA",2022.0,19076.0,18263.0,813.0,4.3,LA,Low
CN2210300000000,22.0,103.0,"St. Tammany Parish, LA",2022.0,118867.0,115374.0,3493.0,2.9,LA,Low
CN2210500000000,22.0,105.0,"Tangipahoa Parish, LA",2022.0,56453.0,54026.0,2427.0,4.3,LA,Low
CN2210700000000,22.0,107.0,"Tensas Parish, LA",2022.0,1304.0,1239.0,65.0,5.0,LA,Medium
CN2210900000000,22.0,109.0,"Terrebonne Parish, LA",2022.0,44444.0,42735.0,1709.0,3.8,LA,Low
CN2211100000000,22.0,111.0,"Union Parish, LA",2022.0,9113.0,8768.0,345.0,3.8,LA,Low
CN2211300000000,22.0,113.0,"Vermilion Parish, LA",2022.0,23918.0,23075.0,843.0,3.5,LA,Low
CN2211500000000,22.0,115.0,"Vernon Parish, LA",2022.0,16135.0,15483.0,652.0,4.0,LA,Low
CN2211700000000,22.0,117.0,"Washington Parish, LA",2022.0,16849.0,16144.0,705.0,4.2,LA,Low
CN2211900000000,22.0,119.0,"Webster Parish, LA",2022.0,14092.0,13508.0,584.0,4.1,LA,Low
CN2212100000000,22.0,121.0,"West Baton Rouge Parish, LA",2022.0,13946.0,13492.0,454.0,3.3,LA,Low
CN2212300000000,22.0,123.0,"West Carroll Parish, LA",2022.0,3488.0,3296.0,192.0,5.5,LA,Medium
CN2212500000000,22.0,125.0,"West Feliciana Parish, LA",2022.0,5417.0,5277.0,140.0,2.6,LA,Low
CN2212700000000,22.0,127.0,"Winn Parish, LA",2022.0,4586.0,4402.0,184.0,4.0,LA,Low
CN2300100000000,23.0,1.0,"Androscoggin County, ME",2022.0,53206.0,51679.0,1527.0,2.9,ME,Low
CN2300300000000,23.0,3.0,"Aroostook County, ME",2022.0,28769.0,27631.0,1138.0,4.0,ME,Low
CN2300500000000,23.0,5.0,"Cumberland County, ME",2022.0,163301.0,159534.0,3767.0,2.3,ME,Low
CN2300700000000,23.0,7.0,"Franklin County, ME",2022.0,13789.0,13316.0,473.0,3.4,ME,Low
CN2300900000000,23.0,9.0,"Hancock County, ME",2022.0,28745.0,27778.0,967.0,3.4,ME,Low
CN2301100000000,23.0,11.0,"Kennebec County, ME",2022.0,61727.0,60056.0,1671.0,2.7,ME,Low
CN2301300000000,23.0,13.0,"Knox County, ME",2022.0,20021.0,19447.0,574.0,2.9,ME,Low
CN2301500000000,23.0,15.0,"Lincoln County, ME",2022.0,16780.0,16316.0,464.0,2.8,ME,Low
CN2301700000000,23.0,17.0,"Oxford County, ME",2022.0,26059.0,25234.0,825.0,3.2,ME,Low
CN2301900000000,23.0,19.0,"Penobscot County, ME",2022.0,73882.0,71644.0,2238.0,3.0,ME,Low
CN2302100000000,23.0,21.0,"Piscataquis County, ME",2022.0,7345.0,7076.0,269.0,3.7,ME,Low
CN2302300000000,23.0,23.0,"Sagadahoc County, ME",2022.0,19143.0,18706.0,437.0,2.3,ME,Low
CN2302500000000,23.0,25.0,"Somerset County, ME",2022.0,22054.0,21181.0,873.0,4.0,ME,Low
CN2302700000000,23.0,27.0,"Waldo County, ME",2022.0,20356.0,19736.0,620.0,3.0,ME,Low
CN2302900000000,23.0,29.0,"Washington County, ME",2022.0,13420.0,12868.0,552.0,4.1,ME,Low
CN2303100000000,23.0,31.0,"York County, ME",2022.0,112574.0,109630.0,2944.0,2.6,ME,Low
CN2400100000000,24.0,1.0,"Allegany County, MD",2022.0,31030.0,29877.0,1153.0,3.7,MD,Low
CN2400300000000,24.0,3.0,"Anne Arundel County, MD",2022.0,312778.0,304604.0,8174.0,2.6,MD,Low
CN2400500000000,24.0,5.0,"Baltimore County, MD",2022.0,442812.0,429325.0,13487.0,3.0,MD,Low
CN2400900000000,24.0,9.0,"Calvert County, MD",2022.0,48864.0,47524.0,1340.0,2.7,MD,Low
CN2401100000000,24.0,11.0,"Caroline County, MD",2022.0,16956.0,16472.0,484.0,2.9,MD,Low
CN2401300000000,24.0,13.0,"Carroll County, MD",2022.0,94395.0,92088.0,2307.0,2.4,MD,Low
CN2401500000000,24.0,15.0,"Cecil County, MD",2022.0,53404.0,51756.0,1648.0,3.1,MD,Low
CN2401700000000,24.0,17.0,"Charles County, MD",2022.0,85674.0,83028.0,2646.0,3.1,MD,Low
CN2401900000000,24.0,19.0,"Dorchester County, MD",2022.0,15725.0,15195.0,530.0,3.4,MD,Low
CN2402100000000,24.0,21.0,"Frederick County, MD",2022.0,135039.0,131346.0,3693.0,2.7,MD,Low
CN2402300000000,24.0,23.0,"Garrett County, MD",2022.0,14829.0,14353.0,476.0,3.2,MD,Low
CN2402500000000,24.0,25.0,"Harford County, MD",2022.0,139568.0,135753.0,3815.0,2.7,MD,Low
CN2402700000000,24.0,27.0,"Howard County, MD",2022.0,187053.0,182520.0,4533.0,2.4,MD,Low
CN2402900000000,24.0,29.0,"Kent County, MD",2022.0,9701.0,9378.0,323.0,3.3,MD,Low
CN2403100000000,24.0,31.0,"Montgomery County, MD",2022.0,542899.0,528308.0,14591.0,2.7,MD,Low
CN2403300000000,24.0,33.0,"Prince George's County, MD",2022.0,491617.0,475409.0,16208.0,3.3,MD,Low
CN2403500000000,24.0,35.0,"Queen Anne's County, MD",2022.0,27942.0,27230.0,712.0,2.5,MD,Low
CN2403700000000,24.0,37.0,"St. Mary's County, MD",2022.0,57285.0,55659.0,1626.0,2.8,MD,Low
CN2403900000000,24.0,39.0,"Somerset County, MD",2022.0,8969.0,8573.0,396.0,4.4,MD,Low
CN2404100000000,24.0,41.0,"Talbot County, MD",2022.0,17395.0,16853.0,542.0,3.1,MD,Low
CN2404300000000,24.0,43.0,"Washington County, MD",2022.0,72075.0,69859.0,2216.0,3.1,MD,Low
CN2404500000000,24.0,45.0,"Wicomico County, MD",2022.0,50840.0,49029.0,1811.0,3.6,MD,Low
CN2404700000000,24.0,47.0,"Worcester County, MD",2022.0,25059.0,23879.0,1180.0,4.7,MD,Medium
CN2451000000000,24.0,510.0,"Baltimore city, MD",2022.0,272948.0,262199.0,10749.0,3.9,MD,Low
CN2500100000000,25.0,1.0,"Barnstable County, MA",2022.0,111556.0,106399.0,5157.0,4.6,MA,Medium
CN2500300000000,25.0,3.0,"Berkshire County, MA",2022.0,61916.0,59284.0,2632.0,4.3,MA,Low
CN2500500000000,25.0,5.0,"Bristol County, MA",2022.0,298713.0,285189.0,13524.0,4.5,MA,Low
CN2500700000000,25.0,7.0,"Dukes County, MA",2022.0,9745.0,9255.0,490.0,5.0,MA,Medium
CN2500900000000,25.0,9.0,"Essex County, MA",2022.0,421534.0,405406.0,16128.0,3.8,MA,Low
CN2501100000000,25.0,11.0,"Franklin County, MA",2022.0,40068.0,38748.0,1320.0,3.3,MA,Low
CN2501300000000,25.0,13.0,"Hampden County, MA",2022.0,222436.0,211709.0,10727.0,4.8,MA,Medium
CN2501500000000,25.0,15.0,"Hampshire County, MA",2022.0,88857.0,85916.0,2941.0,3.3,MA,Low
CN2501700000000,25.0,17.0,"Middlesex County, MA",2022.0,910849.0,883631.0,27218.0,3.0,MA,Low
CN2501900000000,25.0,19.0,"Nantucket County/town, MA",2022.0,7916.0,7432.0,484.0,6.1,MA,Medium
CN2502100000000,25.0,21.0,"Norfolk County, MA",2022.0,392560.0,379802.0,12758.0,3.2,MA,Low
CN2502300000000,25.0,23.0,"Plymouth County, MA",2022.0,283538.0,272555.0,10983.0,3.9,MA,Low
CN2502500000000,25.0,25.0,"Suffolk County, MA",2022.0,453111.0,437082.0,16029.0,3.5,MA,Low
CN2502700000000,25.0,27.0,"Worcester County, MA",2022.0,440791.0,423910.0,16881.0,3.8,MA,Low
CN2600100000000,26.0,1.0,"Alcona County, MI",2022.0,3867.0,3606.0,261.0,6.7,MI,Medium
CN2600300000000,26.0,3.0,"Alger County, MI",2022.0,3228.0,2994.0,234.0,7.2,MI,Medium
CN2600500000000,26.0,5.0,"Allegan County, MI",2022.0,62102.0,59858.0,2244.0,3.6,MI,Low
CN2600700000000,26.0,7.0,"Alpena County, MI",2022.0,13340.0,12694.0,646.0,4.8,MI,Medium
CN2600900000000,26.0,9.0,"Antrim County, MI",2022.0,10091.0,9514.0,577.0,5.7,MI,Medium
CN2601100000000,26.0,11.0,"Arenac County, MI",2022.0,5784.0,5365.0,419.0,7.2,MI,Medium
CN2601300000000,26.0,13.0,"Baraga County, MI",2022.0,3075.0,2855.0,220.0,7.2,MI,Medium
CN2601500000000,26.0,15.0,"Barry County, MI",2022.0,32025.0,30825.0,1200.0,3.7,MI,Low
CN2601700000000,26.0,17.0,"Bay County, MI",2022.0,48979.0,46493.0,2486.0,5.1,MI,Medium
CN2601900000000,26.0,19.0,"Benzie County, MI",2022.0,8798.0,8342.0,456.0,5.2,MI,Medium
CN2602100000000,26.0,21.0,"Berrien County, MI",2022.0,71953.0,68758.0,3195.0,4.4,MI,Low
CN2602300000000,26.0,23.0,"Branch County, MI",2022.0,19704.0,18912.0,792.0,4.0,MI,Low
CN2602500000000,26.0,25.0,"Calhoun County, MI",2022.0,60320.0,57498.0,2822.0,4.7,MI,Medium
CN2602700000000,26.0,27.0,"Cass County, MI",2022.0,23689.0,22667.0,1022.0,4.3,MI,Low
CN2602900000000,26.0,29.0,"Charlevoix County, MI",2022.0,12883.0,12290.0,593.0,4.6,MI,Medium
CN2603100000000,26.0,31.0,"Cheboygan County, MI",2022.0,10374.0,9534.0,840.0,8.1,MI,High
CN2603300000000,26.0,33.0,"Chippewa County, MI",2022.0,15983.0,14985.0,998.0,6.2,MI,Medium
CN2603500000000,26.0,35.0,"Clare County, MI",2022.0,11416.0,10648.0,768.0,6.7,MI,Medium
CN2603700000000,26.0,37.0,"Clinton County, MI",2022.0,40317.0,38788.0,1529.0,3.8,MI,Low
CN2603900000000,26.0,39.0,"Crawford County, MI",2022.0,5479.0,5127.0,352.0,6.4,MI,Medium
CN2604100000000,26.0,41.0,"Delta County, MI",2022.0,16666.0,15761.0,905.0,5.4,MI,Medium
CN2604300000000,26.0,43.0,"Dickinson County, MI",2022.0,12256.0,11737.0,519.0,4.2,MI,Low
CN2604500000000,26.0,45.0,"Eaton County, MI",2022.0,56161.0,53741.0,2420.0,4.3,MI,Low
CN2604700000000,26.0,47.0,"Emmet County, MI",2022.0,16905.0,15991.0,914.0,5.4,MI,Medium
CN2604900000000,26.0,49.0,"Genesee County, MI",2022.0,179097.0,169352.0,9745.0,5.4,MI,Medium
CN2605100000000,26.0,51.0,"Gladwin County, MI",2022.0,10003.0,9416.0,587.0,5.9,MI,Medium
CN2605300000000,26.0,53.0,"Gogebic County, MI",2022.0,5756.0,5466.0,290.0,5.0,MI,Medium
CN2605500000000,26.0,55.0,"Grand Traverse County, MI",2022.0,49730.0,47908.0,1822.0,3.7,MI,Low
CN2605700000000,26.0,57.0,"Gratiot County, MI",2022.0,17396.0,16609.0,787.0,4.5,MI,Low
CN2605900000000,26.0,59.0,"Hillsdale County, MI",2022.0,20127.0,19223.0,904.0,4.5,MI,Low
CN2606100000000,26.0,61.0,"Houghton County, MI",2022.0,16245.0,15477.0,768.0,4.7,MI,Medium
CN2606300000000,26.0,63.0,"Huron County, MI",2022.0,14993.0,14303.0,690.0,4.6,MI,Medium
CN2606500000000,26.0,65.0,"Ingham County, MI",2022.0,146731.0,140394.0,6337.0,4.3,MI,Low
CN2606700000000,26.0,67.0,"Ionia County, MI",2022.0,30507.0,29354.0,1153.0,3.8,MI,Low
CN2606900000000,26.0,69.0,"Iosco County, MI",2022.0,10261.0,9619.0,642.0,6.3,MI,Medium
CN2607100000000,26.0,71.0,"Iron County, MI",2022.0,4764.0,4486.0,278.0,5.8,MI,Medium
CN2607300000000,26.0,73.0,"Isabella County, MI",2022.0,32373.0,30860.0,1513.0,4.7,MI,Medium
CN2607500000000,26.0,75.0,"Jackson County, MI",2022.0,73988.0,70758.0,3230.0,4.4,MI,Low
CN2607700000000,26.0,77.0,"Kalamazoo County, MI",2022.0,132130.0,127053.0,5077.0,3.8,MI,Low
CN2607900000000,26.0,79.0,"Kalkaska County, MI",2022.0,7909.0,7449.0,460.0,5.8,MI,Medium
CN2608100000000,26.0,81.0,"Kent County, MI",2022.0,362319.0,350035.0,12284.0,3.4,MI,Low
CN2608300000000,26.0,83.0,"Keweenaw County, MI",2022.0,905.0,851.0,54.0,6.0,MI,Medium
CN2608500000000,26.0,85.0,"Lake County, MI",2022.0,3829.0,3562.0,267.0,7.0,MI,Medium
CN2608700000000,26.0,87.0,"Lapeer County, MI",2022.0,40436.0,38693.0,1743.0,4.3,MI,Low
CN2608900000000,26.0,89.0,"Leelanau County, MI",2022.0,10365.0,9935.0,430.0,4.1,MI,Low
CN2609100000000,26.0,91.0,"Lenawee County, MI",2022.0,45179.0,43133.0,2046.0,4.5,MI,Low
CN2609300000000,26.0,93.0,"Livingston County, MI",2022.0,103422.0,100456.0,2966.0,2.9,MI,Low
CN2609500000000,26.0,95.0,"Luce County, MI",2022.0,2142.0,2013.0,129.0,6.0,MI,Medium
CN2609700000000,26.0,97.0,"Mackinac County, MI",2022.0,5158.0,4704.0,454.0,8.8,MI,High
